,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Korla,CN,77.0,broken clouds,41.76,86.15,Gulisitan Hotel
251,Banjarmasin,ID,77.0,scattered clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
252,Naze,JP,82.4,broken clouds,28.37,129.48,奄美ポートタワーホテル
255,Port Moresby,PG,80.6,smoke,-9.44,147.18,Lamana Hotel
258,Mancio Lima,BR,83.07,overcast clouds,-7.61,-72.9,Hotel e Distribuidora Voyage
259,Juegang,CN,79.0,light rain,32.32,121.19,Rudong Y Hotel
264,Touros,BR,75.2,broken clouds,-5.2,-35.46,INN NEW HORIZON
266,Westport,US,75.99,broken clouds,41.14,-73.36,The Westport Inn
272,Santa Marta,CO,77.0,broken clouds,11.24,-74.2,Hotel La Ballena Azul
273,Itarema,BR,78.03,scattered clouds,-2.92,-39.92,Windvillage
274,Hobyo,SO,76.08,clear sky,5.35,48.53,Osmani Hotel
275,Progreso,MX,90.0,broken clouds,21.28,-89.67,Playa Linda Hotel
281,Kandiari,PK,88.3,clear sky,26.92,68.52,Birohi Tailors
285,Shirvan,AZ,75.69,clear sky,39.95,48.9,Hotel Empire
289,Kilindoni,TZ,75.67,clear sky,-7.91,39.67,Bustani B&B
290,Kikwit,CD,76.59,light rain,-5.04,18.82,Centre D'Accueil Protestant
291,Kavaratti,IN,82.76,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
292,Ewa Beach,US,86.0,light rain,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
293,Rock Sound,BS,83.98,few clouds,24.9,-76.2,Rock Sound Club
294,Dingle,PH,80.08,broken clouds,11.0,122.67,Camp Pasica
304,Osvaldo Cruz,BR,78.89,few clouds,-21.8,-50.88,Grande Hotel Esplanada Ceglauskis
309,Pochutla,MX,80.6,moderate rain,15.74,-96.47,Hotel Posada San Jose
313,Padang,ID,76.12,broken clouds,-0.95,100.35,Mercure Padang
314,Sinnamary,GF,79.14,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
317,Isangel,VU,75.92,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
319,Buraydah,SA,84.2,clear sky,26.33,43.98,Mövenpick Hotel Qassim
322,Olinda,BR,77.0,few clouds,-8.01,-34.86,Hotel 5 Sóis
324,Dicabisagan,PH,80.65,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
325,Puerto Cabezas,NI,86.0,moderate rain,14.04,-83.39,Hotel Caribe
328,Miri,MY,77.0,light rain,4.41,114.01,"Mega Hotel, Miri"
333,Lewistown,US,77.0,broken clouds,40.6,-77.57,Quality Inn & Suites
337,Palmer,US,78.8,scattered clouds,42.16,-72.33,Wedgewood Motel
338,Muroto,JP,78.8,heavy intensity shower rain,33.28,134.15,Oota Ryokan
341,Marang,MY,77.0,scattered clouds,5.21,103.21,DBarakah Homestay
342,Hasilpur,PK,87.67,clear sky,29.71,72.56,Dr Riaz's House 89 Fateh
346,Say,NE,77.0,scattered clouds,13.1,2.37,
350,Semnan,IR,78.8,clear sky,35.57,53.4,Semnan Tourist Hotel
356,Malindi,KE,75.0,clear sky,-3.22,40.12,African House Resort
361,Horqueta,PY,76.73,few clouds,-23.34,-57.06,Hospedaje Heina
362,Manoel Urbano,BR,82.85,overcast clouds,-8.84,-69.26,Baixada Beira Rio
363,Calamar,CO,77.0,broken clouds,10.25,-74.91,Canal del dique y rio magdalena
365,Caucaia,BR,80.6,overcast clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
367,Champerico,GT,80.6,thunderstorm with rain,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
368,Lorengau,PG,84.2,clear sky,-2.02,147.27,Lorengau Harbourside Hotel
369,Tabuk,PH,76.59,overcast clouds,17.42,121.44,Grand Zion Garden Resort Hotel
371,Bidor,MY,77.0,few clouds,4.11,101.29,Hotel Bidor mk
373,Naliya,IN,81.52,clear sky,23.27,68.83,Hotel Panchvati
381,Cabo San Lucas,MX,84.99,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
387,Palu,ID,76.89,overcast clouds,-0.89,119.87,Hotel Santika Palu
389,Acarau,BR,78.04,scattered clouds,-2.89,-40.12,castelo pizzaria
397,Katobu,ID,77.34,overcast clouds,-4.94,122.53,La Ode Husein
398,Thongwa,MM,78.8,broken clouds,16.76,96.53,Mhaw Wun Marlar Park
407,Mangrol,IN,81.57,broken clouds,21.12,70.12,Hotel The Royal Honours
414,Darnah,LY,77.18,clear sky,32.77,22.64,زاوية الرفاعي
415,Ambunti,PG,81.41,scattered clouds,-4.24,142.84,Ambunti Lodge
418,Avera,US,86.0,clear sky,33.19,-82.53,
419,Guarapari,BR,77.0,clear sky,-20.67,-40.5,Hotel Porto do Sol
429,Kurud,IN,76.05,few clouds,20.83,81.72,Chanachur bhel
432,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
433,Kokomo,US,80.6,clear sky,40.49,-86.13,Hampton Inn & Suites Kokomo
434,Pontes E Lacerda,BR,85.03,scattered clouds,-15.23,-59.34,Hotel Bressan
440,Kupang,ID,75.2,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
442,Frontera,MX,80.01,overcast clouds,26.93,-101.45,Fiesta Inn Monclova
449,Caninde,BR,75.15,scattered clouds,-4.36,-39.31,Hotel Casa Grande II
450,Saint Anthony,US,82.4,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
453,Qiongshan,CN,77.0,light rain,20.01,110.35,Sun City Restaurant
454,Alexandria,EG,78.8,scattered clouds,31.22,29.96,Royal Crown Hotel
457,Nanakuli,US,86.0,light rain,21.39,-158.15,Camp Palehua
458,Helena,US,89.6,clear sky,46.59,-112.04,Holiday Inn Express & Suites Helena
459,Albemarle,US,80.6,clear sky,35.35,-80.2,Holiday Inn Express & Suites Albemarle
462,Popondetta,PG,86.31,overcast clouds,-8.75,148.25,Timos Transit House
464,Gwadar,PK,81.32,clear sky,25.12,62.33,Sadaf Resort
465,Kerrville,US,87.8,broken clouds,30.05,-99.14,Inn Of The Hills Hotel & Conference Center
467,Kutum,SD,77.2,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
468,North Myrtle Beach,US,82.0,few clouds,33.82,-78.68,Avista Resort
470,Kahului,US,89.6,few clouds,20.89,-156.47,Maui Seaside Hotel
471,Nanaimo,CA,77.0,scattered clouds,49.17,-123.94,Days Inn by Wyndham Nanaimo
475,Kirakira,SB,78.85,overcast clouds,-10.45,161.92,SanBiz Lodge
476,Boca Do Acre,BR,86.79,overcast clouds,-8.75,-67.4,Hotel Linhares
482,Kamaishi,JP,78.8,broken clouds,39.27,141.88,Hotel Route Inn Kamaishi
485,Denpasar,ID,77.0,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
490,Copala,MX,82.53,light rain,16.65,-98.98,Biol. Fernando Martinez Salgado
491,Ciputat,ID,80.01,haze,-6.24,106.7,RedDoorz near Exit Toll Joglo
492,Alofi,NU,77.0,broken clouds,-19.06,-169.92,Taloa Heights
493,Sungai Besar,MY,77.0,scattered clouds,3.67,100.99,NIDA Rooms Sabak Bernam Comfort
494,Alta Floresta,BR,85.12,clear sky,-9.88,-56.09,Floresta Amazonica Hotel
497,Bontang,ID,76.78,moderate rain,0.13,117.5,Okra Leaf Guest House Syariah
498,Worthington,US,79.0,clear sky,40.09,-83.02,Sheraton Suites Columbus Worthington
501,Barra Do Garcas,BR,81.21,clear sky,-15.89,-52.26,Hotel Pousada Tropical
502,Gat,IL,79.0,clear sky,31.61,34.76,OlusHome
504,Portland,US,90.0,smoke,45.52,-122.68,Portland Marriott City Center
506,Hirara,JP,80.6,few clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
507,Cedar Rapids,US,88.0,broken clouds,42.01,-91.64,DoubleTree by Hilton Hotel Cedar Rapids Convention Complex
508,Mapiripan,CO,78.71,overcast clouds,2.89,-72.13,Monserrate
515,Santa Isabel,BR,78.8,clear sky,-23.32,-46.22,Chácara Sombra do Altíssimo
518,Biak,ID,76.6,moderate rain,-0.91,122.88,Kost Ariz
519,Ostuni,IT,75.99,clear sky,40.73,17.58,Hotel Relais La Sommità
520,Novo Aripuana,BR,85.93,few clouds,-5.12,-60.38,Hotel Ypê
527,Ranau,MY,75.2,few clouds,5.95,116.66,Ranau Backpackers Hostel
530,Cozumel,MX,87.8,few clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
531,Mayo,US,79.0,clear sky,38.89,-76.51,Resorts Resource Group International
537,Riyadh,SA,87.8,clear sky,24.69,46.72,InterContinental Riyadh
538,San Quintin,MX,88.72,clear sky,30.48,-115.95,Old Mill Hotel
541,Bubaque,GW,79.77,light rain,11.28,-15.83,Casa Dora
543,Baracoa,CU,81.25,overcast clouds,20.35,-74.5,Hostal Rio Miel
548,Ko Samui,TH,80.6,few clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
549,Cumana,VE,81.46,broken clouds,10.46,-64.18,TIUNA INN HOTEL
551,Phuket,TH,84.0,few clouds,8.0,98.25,The Surin Phuket
553,Manavalakurichi,IN,77.0,mist,8.13,77.3,Udaya Boys Hostel
554,Alice Springs,AU,75.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
556,Veraval,IN,81.48,scattered clouds,20.9,70.37,Lords Inn Somnath
566,Lerdo,MX,80.6,broken clouds,25.53,-103.53,Comfortable house with excellent location. Come to Gomez
567,Zacualpan,MX,75.2,overcast clouds,21.25,-105.17,La Colorada B&B
568,Kos,GR,78.8,clear sky,36.89,27.29,Kipriotis Village Resort
570,Palizada,MX,86.0,scattered clouds,18.25,-92.08,Hotel San Joaquín
571,Port-Gentil,GA,77.0,scattered clouds,-0.72,8.78,Fengshui Residence
572,Jinji,CN,78.85,overcast clouds,23.23,110.83,
573,Aitape,PG,83.71,broken clouds,-3.14,142.35,
574,Ciudad Bolivar,VE,83.35,broken clouds,8.12,-63.55,Hotel Edi
575,Masuda,JP,82.4,broken clouds,34.67,131.85,Masuda Green Hotel Morris
579,Noboribetsu,JP,80.01,light intensity shower rain,42.45,141.17,Hotel Izumi
584,Barreirinhas,BR,77.83,scattered clouds,-2.75,-42.83,Gran Lençóis Flat Residence
588,Pedernales,DO,83.75,overcast clouds,18.04,-71.74,Hotel Costa Marina
589,Manadhoo,MV,81.88,overcast clouds,5.77,73.38,Vevu Guesthouse
590,Rosetta,EG,78.8,scattered clouds,31.4,30.42,Green Valley
